年,月,CPI
1990,1,40.0
1990,2,40.3
1990,3,40.8
1990,4,41.3
1990,5,41.7
1990,6,42.1
1990,7,42.3
1990,8,42.4
1990,9,43.2
1990,10,43.5
1990,11,43.9
1990,12,44.2
1991,1,44.5
1991,2,45.2
1991,3,45.7
1991,4,46.4
1991,5,46.6
1991,6,46.9
1991,7,47.1
1991,8,47.3
1991,9,47.7
1991,10,48.0
1991,11,48.4
1991,12,48.5
1992,1,49.0
1992,2,49.8
1992,3,50.1
1992,4,50.7
1992,5,50.9
1992,6,51.3
1992,7,51.5
1992,8,51.6
1992,9,52.5
1992,10,52.7
1992,11,52.9
1992,12,53.2
1993,1,54.0
1993,2,54.2
1993,3,54.3
1993,4,54.9
1993,5,55.4
1993,6,55.9
1993,7,55.9
1993,8,56.1
1993,9,56.8
1993,10,57.4
1993,11,57.5
1993,12,58.0
1994,1,57.9
1994,2,58.8
1994,3,58.8
1994,4,59.6
1994,5,60.2
1994,6,60.6
1994,7,60.8
1994,8,61.6
1994,9,62.1
1994,10,62.6
1994,11,63.0
1994,12,63.5
1995,1,63.9
1995,2,64.3
1995,3,64.6
1995,4,65.4
1995,5,65.8
1995,6,66.3
1995,7,66.4
1995,8,67.0
1995,9,67.6
1995,10,68.0
1995,11,68.1
1995,12,68.0
1996,1,68.1
1996,2,68.8
1996,3,69.1
1996,4,70.0
1996,5,70.1
1996,6,70.5
1996,7,70.5
1996,8,70.6
1996,9,71.4
1996,10,71.9
1996,11,72.2
1996,12,72.5
1997,1,72.4
1997,2,73.1
1997,3,73.2
1997,4,73.9
1997,5,74.2
1997,6,74.4
1997,7,75.0
1997,8,75.1
1997,9,75.4
1997,10,75.9
1997,11,76.1
1997,12,76.2
1998,1,76.3
1998,2,76.5
1998,3,76.7
1998,4,77.4
1998,5,77.5
1998,6,77.4
1998,7,77.4
1998,8,77.2
1998,9,77.3
1998,10,76.0
1998,11,75.5
1998,12,75.0
1999,1,75.5
1999,2,75.2
1999,3,74.7
1999,4,74.5
1999,5,74.4
1999,6,74.2
1999,7,73.1
1999,8,72.4
1999,9,72.6
1999,10,72.8
1999,11,72.3
1999,12,72.0
2000,1,71.5
2000,2,71.4
2000,3,71.2
2000,4,71.2
2000,5,71.1
2000,6,70.8
2000,7,70.7
2000,8,70.5
2000,9,70.6
2000,10,70.6
2000,11,70.7
2000,12,70.5
2001,1,70.4
2001,2,69.7
2001,3,69.8
2001,4,70.2
2001,5,70.0
2001,6,70.0
2001,7,70.1
2001,8,69.7
2001,9,69.8
2001,10,69.7
2001,11,69.7
2001,12,68.0
2002,1,68.0
2002,2,68.1
2002,3,68.3
2002,4,68.1
2002,5,67.8
2002,6,67.7
2002,7,67.7
2002,8,67.5
2002,9,67.2
2002,10,67.2
2002,11,67.1
2002,12,66.9
2003,1,66.9
2003,2,66.7
2003,3,66.8
2003,4,66.9
2003,5,66.2
2003,6,65.6
2003,7,65.0
2003,8,64.9
2003,9,65.0
2003,10,65.4
2003,11,65.5
2003,12,65.7
2004,1,65.9
2004,2,65.4
2004,3,65.5
2004,4,65.8
2004,5,65.6
2004,6,65.5
2004,7,65.5
2004,8,65.4
2004,9,65.5
2004,10,65.8
2004,11,65.9
2004,12,65.9
2005,1,65.7
2005,2,65.9
2005,3,65.9
2005,4,66.1
2005,5,66.0
2005,6,66.2
2005,7,66.3
2005,8,66.2
2005,9,66.5
2005,10,66.6
2005,11,66.7
2005,12,66.8
2006,1,66.9
2006,2,66.7
2006,3,67.0
2006,4,67.3
2006,5,67.4
2006,6,67.6
2006,7,67.8
2006,8,67.8
2006,9,67.9
2006,10,68.0
2006,11,68.1
2006,12,68.3
2007,1,68.2
2007,2,67.3
2007,3,68.6
2007,4,68.2
2007,5,68.2
2007,6,68.5
2007,7,68.9
2007,8,68.9
2007,9,69.0
2007,10,70.1
2007,11,70.5
2007,12,70.9
2008,1,70.4
2008,2,71.5
2008,3,71.5
2008,4,71.9
2008,5,72.1
2008,6,72.7
2008,7,73.2
2008,8,72.1
2008,9,71.1
2008,10,71.4
2008,11,72.6
2008,12,72.4
2009,1,72.6
2009,2,72.1
2009,3,72.3
2009,4,72.3
2009,5,72.2
2009,6,72.1
2009,7,72.1
2009,8,70.9
2009,9,71.4
2009,10,73.2
2009,11,73.2
2009,12,73.5
2010,1,73.5
2010,2,74.2
2010,3,73.9
2010,4,74.2
2010,5,74.1
2010,6,74.2
2010,7,72.5
2010,8,72.5
2010,9,72.8
2010,10,75.0
2010,11,75.2
2010,12,75.7
2011,1,76.1
2011,2,76.9
2011,3,77.1
2011,4,77.6
2011,5,78.0
2011,6,78.4
2011,7,78.3
2011,8,76.7
2011,9,77.0
2011,10,79.3
2011,11,79.5
2011,12,80.0
2012,1,80.7
2012,2,80.5
2012,3,80.9
2012,4,81.3
2012,5,81.3
2012,6,81.3
2012,7,79.6
2012,8,79.6
2012,9,79.9
2012,10,82.3
2012,11,82.5
2012,12,82.9
2013,1,83.1
2013,2,84.0
2013,3,83.8
2013,4,84.6
2013,5,84.5
2013,6,84.6
2013,7,85.1
2013,8,83.2
2013,9,83.6
2013,10,85.9
2013,11,86.1
2013,12,86.5
2014,1,86.9
2014,2,87.3
2014,3,87.1
2014,4,87.7
2014,5,87.6
2014,6,87.7
2014,7,88.5
2014,8,86.5
2014,9,89.1
2014,10,90.3
2014,11,90.5
2014,12,90.7
2015,1,90.4
2015,2,91.2
2015,3,90.9
2015,4,90.2
2015,5,90.2
2015,6,90.3
2015,7,90.8
2015,8,89.1
2015,9,90.9
2015,10,92.3
2015,11,92.5
2015,12,92.8
2016,1,92.7
2016,2,93.9
2016,3,93.5
2016,4,92.6
2016,5,92.5
2016,6,92.5
2016,7,92.9
2016,8,93.0
2016,9,93.3
2016,10,93.4
2016,11,93.7
2016,12,93.9
2017,1,93.9
2017,2,93.8
2017,3,94.0
2017,4,94.5
2017,5,94.4
2017,6,94.3
2017,7,94.7
2017,8,94.8
2017,9,94.6
2017,10,94.9
2017,11,95.2
2017,12,95.5
2018,1,95.5
2018,2,96.7
2018,3,96.4
2018,4,96.3
2018,5,96.4
2018,6,96.6
2018,7,96.9
2018,8,97.0
2018,9,97.2
2018,10,97.4
2018,11,97.6
2018,12,97.9
2019,1,97.8
2019,2,98.7
2019,3,98.4
2019,4,99.1
2019,5,99.0
2019,6,99.7
2019,7,100.1
2019,8,100.3
2019,9,100.3
2019,10,100.6
2019,11,100.7
2019,12,100.7
2020,1,98.5
2020,2,101.0
2020,3,100.9
2020,4,101.0
2020,5,100.7
2020,6,100.6
2020,7,97.7
2020,8,99.9
2020,9,97.8
2020,10,100.2
2020,11,100.3
2020,12,99.8
2021,1,101.1
2021,2,101.4
2021,3,101.5
2021,4,101.8
2021,5,101.6
2021,6,101.3
2021,7,101.4
2021,8,101.5
2021,9,99.2
2021,10,102.0
2021,11,102.2
2021,12,102.2
2022,1,102.3
2022,2,103.1
2022,3,103.3
2022,4,103.1
2022,5,102.9
2022,6,103.2
2022,7,103.3
2022,8,103.4
2022,9,103.5